invoice_ref,line_date,line_amount
655713,2022-04-01,209.25
655882,2022-04-02,21.45
656250,2022-04-02,207.97
657226,2022-04-05,42.44
658113,2022-04-06,616.61
657961,2022-04-06,250.73
658362,2022-04-07,115.50
658785,2022-04-07,179.34
659525,2022-04-08,501.63
660695,2022-04-11,136.81
660978,2022-04-11,985.31
661636,2022-04-12,228.09
662192,2022-04-13,224.82
662082,2022-04-13,370.15
663157,2022-04-14,146.68
663122,2022-04-14,545.63
663803,2022-04-15,124.83
663542,2022-04-15,420.49
664866,2022-04-16,299.42
664850,2022-04-16,1266.16
665659,2022-04-18,850.67
665960,2022-04-19,553.19
666336,2022-04-19,375.30
667066,2022-04-20,610.14
667832,2022-04-21,178.18
668678,2022-04-22,1293.62
668676,2022-04-22,64.49
669424,2022-04-23,88.16
669817,2022-04-25,54.12
671919,2022-04-28,138.69
671902,2022-04-28,274.31
672663,2022-04-29,392.81
673442,2022-04-30,1383.53
673464,2022-04-30,163.45
674261,2022-05-03,355.32
675905,2022-05-05,319.35
676616,2022-05-06,235.27
676614,2022-05-06,217.69
677321,2022-05-07,82.99
676844,2022-05-09,33.25
678433,2022-05-10,70.64
678765,2022-05-11,124.11
679803,2022-05-12,230.57
679838,2022-05-12,57.48
680292,2022-05-13,142.91
681302,2022-05-14,82.38
682557,2022-05-17,70.44
682162,2022-05-17,112.18
683076,2022-05-18,95.47
683837,2022-05-19,247.55
684585,2022-05-20,549.78
684591,2022-05-20,183.32
685428,2022-05-21,140.18
685309,2022-05-21,75.48
686191,2022-05-23,346.17
685973,2022-05-23,314.15
686322,2022-05-24,161.24
687354,2022-05-25,180.32
687346,2022-05-25,137.47
688070,2022-05-26,83.14
688859,2022-05-27,153.97
688861,2022-05-27,126.74
689628,2022-05-28,466.27
689398,2022-05-28,60.42
690493,2022-05-30,207.35
691294,2022-05-31,147.98
691274,2022-05-31,664.92
692195,2022-06-01,60.88
691546,2022-06-01,135.77
691519,2022-06-01,515.77
693218,2022-06-02,103.65
694201,2022-06-03,156.48
694174,2022-06-03,891.40
695117,2022-06-04,1126.73
696009,2022-06-06,465.30
696605,2022-06-07,181.25
696583,2022-06-07,363.99
697187,2022-06-08,139.23
698564,2022-06-10,136.44
698463,2022-06-10,617.14
699422,2022-06-11,123.47
700143,2022-06-13,204.61
700151,2022-06-13,180.22
700338,2022-06-14,410.24
700814,2022-06-14,187.00
701520,2022-06-15,221.81
701166,2022-06-15,7.38
702260,2022-06-16,284.61
703859,2022-06-18,151.39
704203,2022-06-20,39.14
704651,2022-06-20,141.86
704835,2022-06-21,264.71
706014,2022-06-22,307.02
706017,2022-06-22,107.47
706615,2022-06-23,224.50
706229,2022-06-23,167.02
707258,2022-06-24,50.36
707495,2022-06-24,101.03
708215,2022-06-25,78.26
708877,2022-06-27,179.08
709480,2022-06-28,178.42
710079,2022-06-29,140.57
710700,2022-06-30,67.41
711620,2022-07-01,275.41
711951,2022-07-02,63.05
712950,2022-07-04,130.03
713391,2022-07-05,539.58
714247,2022-07-06,608.64
714258,2022-07-06,177.23
714647,2022-07-07,466.09
714439,2022-07-07,240.95
715222,2022-07-08,166.74
715508,2022-07-08,12.52
716676,2022-07-09,87.29
717380,2022-07-11,230.43
718125,2022-07-12,266.01
717561,2022-07-12,379.39
718280,2022-07-13,112.36
719046,2022-07-14,844.71
720448,2022-07-15,375.90
720708,2022-07-16,184.66
721297,2022-07-16,454.63
722258,2022-07-18,221.60
722222,2022-07-18,165.96
722865,2022-07-19,318.32
723049,2022-07-19,324.15
723702,2022-07-20,623.29
723750,2022-07-20,22.19
724060,2022-07-21,58.33
724460,2022-07-21,83.79
724655,2022-07-22,343.37
725149,2022-07-22,562.75
726089,2022-07-23,103.46
726863,2022-07-25,254.28
726775,2022-07-25,447.16
727251,2022-07-26,54.86
727535,2022-07-26,661.71
727307,2022-07-26,258.05
728397,2022-07-27,180.11
728349,2022-07-27,370.61
729306,2022-07-28,44.38
729204,2022-07-28,780.67
730238,2022-07-29,88.26
730115,2022-07-29,1036.06
731221,2022-07-30,134.41
731363,2022-08-01,278.94
731926,2022-08-01,379.48
732772,2022-08-02,157.27
732637,2022-08-02,321.42
733541,2022-08-03,1337.49
733184,2022-08-03,235.87
733915,2022-08-04,197.43
735223,2022-08-05,594.89
735078,2022-08-05,73.40
735632,2022-08-06,367.06
735847,2022-08-06,92.62
737129,2022-08-08,1004.17
737080,2022-08-08,56.61
738076,2022-08-09,126.35
737914,2022-08-09,634.65
738233,2022-08-10,253.95
738789,2022-08-10,769.52
739770,2022-08-11,61.44
739476,2022-08-11,617.86
739850,2022-08-12,288.58
740696,2022-08-12,404.40
741794,2022-08-13,1249.52
742050,2022-08-13,59.62
741287,2022-08-13,226.69
742718,2022-08-15,678.82
742763,2022-08-15,98.69
743366,2022-08-16,841.62
743592,2022-08-16,37.43
754347,2022-09-01,383.82
754776,2022-09-01,504.64
755560,2022-09-02,103.16
755352,2022-09-02,381.79
756256,2022-09-03,92.59
756051,2022-09-03,375.54
756831,2022-09-05,16.50
757096,2022-09-06,39.41
766865,2022-09-26,117.12
767302,2022-09-27,94.87
767877,2022-09-29,317.47
768438,2022-09-30,23.86
769281,2022-10-01,106.69
770104,2022-10-04,98.51
781826,2022-11-03,94.42
782313,2022-11-04,30.60
782939,2022-11-05,75.84
783177,2022-11-07,83.83
784397,2022-11-11,74.61
786741,2022-11-18,78.80
787450,2022-11-19,69.16
787723,2022-11-21,31.99
789154,2022-11-25,48.01
790381,2022-11-30,44.47
791895,2022-12-03,37.45
792728,2022-12-07,82.17
793502,2022-12-09,114.93
797674,2022-12-22,56.59
798161,2022-12-23,58.73
799553,2022-12-29,49.95
800024,2022-12-30,70.20
805807,2023-01-21,114.07
808071,2023-01-28,67.53
819054,2023-02-28,42.67
818840,2023-02-28,534.26
109627,2024-05-01,61.89
109555,2024-05-01,17.40
109627,2024-05-01,61.89
109555,2024-05-01,17.40
110294,2024-05-02,140.11
110357,2024-05-02,263.66
110357,2024-05-02,263.66
110294,2024-05-02,140.11
111073,2024-05-03,147.11
111073,2024-05-03,147.11
111825,2024-05-04,70.00
111748,2024-05-04,139.16
111748,2024-05-04,139.16
111825,2024-05-04,70.00
112399,2024-05-06,459.16
112498,2024-05-06,254.64
112498,2024-05-06,254.64
112399,2024-05-06,459.16
113105,2024-05-07,91.40
113019,2024-05-07,470.45
113019,2024-05-07,470.45
113105,2024-05-07,91.40
113694,2024-05-08,22.70
113595,2024-05-08,235.92
113694,2024-05-08,22.70
113595,2024-05-08,235.92
114311,2024-05-09,98.36
114311,2024-05-09,98.36
114463,2024-05-10,130.06
114725,2024-05-10,428.53
114725,2024-05-10,428.53
114463,2024-05-10,130.06
115614,2024-05-11,305.05
115179,2024-05-11,448.39
115614,2024-05-11,305.05
115179,2024-05-11,448.39
116316,2024-05-13,104.54
116148,2024-05-13,422.79
116316,2024-05-13,104.54
116148,2024-05-13,422.79
116788,2024-05-14,39.78
116788,2024-05-14,39.78
117244,2024-05-15,145.75
117244,2024-05-15,145.75
117632,2024-05-16,235.78
117634,2024-05-16,140.14
117808,2024-05-16,140.28
117634,2024-05-16,140.14
117632,2024-05-16,235.78
117808,2024-05-16,140.28
