invoice_number,invoice_date,total
518865,2026-04-03,28.57
518767,2026-04-03,1316.65
519436,2026-04-04,32.00
519806,2026-04-04,83.20
520737,2026-04-06,1009.05
520278,2026-04-06,319.81
520746,2026-04-06,111.45
521542,2026-04-07,148.56
521090,2026-04-07,100.88
521839,2026-04-07,292.91
522584,2026-04-08,352.04
522023,2026-04-08,15.49
522080,2026-04-08,22.61
522734,2026-04-08,15.40
523023,2026-04-09,30.98
523586,2026-04-09,753.00
524001,2026-04-10,73.59
525028,2026-04-10,32.67
525171,2026-04-11,87.56
525748,2026-04-11,131.50
525164,2026-04-11,687.26
526462,2026-04-13,62.22
526604,2026-04-13,168.56
527714,2026-04-15,17.08
527581,2026-04-15,128.30
530426,2026-04-18,-75.15
529765,2026-04-18,663.74
530254,2026-04-18,167.54
530924,2026-04-20,27.82
532312,2026-04-22,22.49
531835,2026-04-22,36.00
532310,2026-04-22,100.53
532488,2026-04-23,120.00
533520,2026-04-24,77.05
533954,2026-04-24,45.99
534687,2026-04-25,727.53
534854,2026-04-25,67.86
549407,2026-05-16,81.58
549230,2026-05-16,71.29
550222,2026-05-18,173.48
