month,cpi,rpi,cpih
2021-01,109.0,294.6,109.28
2021-02,109.1,296.0,109.42
2021-03,109.4,296.9,109.68
2021-04,110.1,301.1,110.4
2021-05,110.8,301.9,110.95
2021-06,111.3,304.0,111.43
2021-07,111.3,305.5,111.44
2021-08,112.1,307.4,112.11
2021-09,112.4,308.6,112.41
2021-10,113.6,312.0,113.42
2021-11,114.5,314.3,114.13
2021-12,115.1,317.7,114.68
2022-01,114.9,317.7,114.64
2022-02,115.8,320.2,115.42
2022-03,117.1,323.5,116.5
2022-04,120.0,334.6,119.0
2022-05,120.8,337.1,119.7
2022-06,121.8,340.0,120.54
2022-07,122.5,343.2,121.22
2022-08,123.1,345.2,121.77
2022-09,123.8,347.6,122.32
2022-10,126.2,356.2,124.31
2022-11,126.7,358.3,124.79
2022-12,127.2,360.4,125.28
2023-01,126.4,360.3,124.77
2023-02,127.9,364.5,125.99
2023-03,128.9,367.2,126.83
2023-04,130.4,372.8,128.34
2023-05,131.3,375.3,129.13
2023-06,131.5,376.4,129.35
2023-07,130.9,374.2,128.96
2023-08,131.3,376.6,129.43
2023-09,132.0,378.4,130.07
2023-10,132.0,377.8,130.21
2023-11,131.7,377.3,130.05
2023-12,132.2,379.0,130.55
2024-01,131.5,378.0,130.04
2024-02,132.3,381.0,130.84
2024-03,133.0,383.0,131.59
2024-04,133.5,385.0,132.24
2024-05,133.9,386.4,132.73
2024-06,134.1,387.3,132.99
2024-07,133.8,387.5,132.94
2024-08,134.3,389.9,133.41
2024-09,134.2,388.6,133.51
2024-10,135.0,390.7,134.33
2024-11,135.1,390.9,134.61
2024-12,135.6,392.1,135.07
2025-01,135.4,391.7,135.05
2025-02,136.0,394.0,135.62
2025-03,136.5,395.3,136.09
2025-04,138.2,402.2,137.71
2025-05,138.4,402.9,138.0
2025-06,138.9,404.5,138.43
2025-07,139.0,406.2,138.47
2025-08,139.3,407.7,138.87
2025-09,139.3,406.1,138.94
2025-10,139.8,407.4,139.45
2025-11,139.5,405.6,139.36
2025-12,140.1,408.5,139.89
2026-01,139.5,406.4,139.42
2026-02,140.1,408.2,139.96
2026-03,141.0,411.4,140.75
2026-04,142.1,414.4,141.84
2026-05,,,
2026-06,,,
2026-07,,,
2026-08,,,
2026-09,,,
2026-10,,,
2026-11,,,
2026-12,,,
